title,artist,gen,feeling,,,,
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,Joyful,,,,
Praying,Kesha,dance pop,Overcoming Fear,,,,
Despacito - Remix,Luis Fonsi,latin:reggaeton,Joyful,,,,
The Greatest,Sia,dance pop,Joyful,,,,
There for You,Martin Garrix,electro house,Optimism,,,,
Paris,The Chainsmokers,electropop,Nostalgia,,,,
Crying in the Club,Camila Cabello,dance pop,Defeat,,,,
Mama,Jonas Blue,dance pop,Optimism,,,,
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,Joyful,,,,
Love,Lana Del Rey,pop,Nostalgia,,,,
All I Ask,Adele,soul,Defeat,,,,
First Time,Kygo,electropop,Nostalgia,,,,
The Cure,Lady Gaga,dance pop,Euforia,,,,
"How Far I'll Go - From ""Moana""",Alessia Cara,r&b,Optimism,,,,
Bodak Yellow,Cardi B,pop,Optimism,,,,
Rich Love (with Seeb),OneRepublic,dance pop,Joyful,,,,
Tired,Alan Walker,electro house,Defeat,,,,
Came Here for Love,Sigala,dance pop,Optimism,,,,
24K Magic,Bruno Mars,pop,Joyful,,,,
Strip That Down (feat. Quavo),Liam Payne,dance pop,Joyful,,,,
Cut To The Feeling,Carly Rae Jepsen,pop,Optimism,,,,
OK - Spotify Version,Robin Schulz,dance pop,Defeat,,,,
Bon app閠it,Katy Perry,dance pop,Joyful,,,,
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,pop,Rage,,,,
